"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","15","","tests.simple.NegativeTests","","tests.simple.NegativeTests","test5","test5()",""
"skipped","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","0","","tests.simple.DisabledTests","","tests.simple.DisabledTests","test2","test2()",""
"failed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","9","","tests.simple.NegativeTests","","tests.simple.NegativeTests","test4","test4()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"skipped","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","0","","tests.simple.DisabledTests","","tests.simple.DisabledTests","test1","test1()",""
"failed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","13","","tests.simple.NegativeTests","","tests.simple.NegativeTests","test3","test3()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"failed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","5","","tests.simple.NegativeTests","","tests.simple.NegativeTests","test6","test6()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","9","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","11","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","6","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","5","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"failed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","10","","tests.simple.NegativeTests","","tests.simple.NegativeTests","test2","test2()",""
"failed","Mon Oct 10 16:20:16 MSK 2022","Mon Oct 10 16:20:16 MSK 2022","115","","tests.simple.NegativeTests","","tests.simple.NegativeTests","test1","test1()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","4","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Mon Oct 10 16:20:17 MSK 2022","Mon Oct 10 16:20:17 MSK 2022","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
